true,pred,diff
4,4,0.5898773895248696
4,4,3.6044932200438273
4,4,1.7004232963460832
4,4,0.7478102713607867
4,4,0.3682011448788232
4,4,0.049687902457166894
4,4,0.6016843350646361
4,4,5.145861571829943
4,4,0.31605756519166384
4,4,0.5664770188332487
4,4,0.13228555865410654
4,4,0.4562805775500866
4,4,1.0252251448395218
4,4,0.3257280995581319
4,4,0.8382900862302077
4,4,0.0590392617962185
4,4,0.5187613366183719
4,4,0.05025568206888767
4,4,0.45095907488948805
4,4,0.04967144099912491
4,4,0.049832902364623725
4,4,0.7045779169043501
4,4,0.04986200667850354
4,4,0.14543063720353192
4,4,0.7107617032697321
4,4,0.4352413597503042
4,4,0.0497119243251012
4,4,0.6214188150392493
4,4,0.05042675779373283
4,4,1.4820925452828249
4,4,0.4165004359059579
4,4,1.2446202006757814
4,4,0.622383256345699
4,4,0.788519421888047
4,4,0.5510012841782118
4,4,0.05839834394144257
4,4,2.133248372776537
4,4,0.3268912442659024
4,4,0.6907464643865517
4,4,0.9106872499405136
4,4,3.714660904781369
4,4,0.36111566980362153
4,4,0.24328854890667267
4,4,0.3500604096046368
4,4,0.4410844187311607
4,4,0.14253303049848393
4,4,0.04977885972678916
4,4,0.16570688538217984
4,4,0.04867065229057929
4,4,0.7935148990288313
4,4,0.6223927033518354
4,4,0.5814333313677318
4,4,0.38824953873358453
4,4,0.049423317865813
5,5,0.05116591205127659
5,5,0.04994066273667495
5,5,0.7194656298810599
5,5,3.1124497306107752
5,5,0.05457801092004391
5,5,0.04986794874197068
5,5,0.04970000122570093
5,5,4.630254200804976
5,5,0.04914062289632002
5,5,1.4981935660142718
5,5,0.07060925834547954
5,5,0.5361848078807188
5,5,0.04959020237641559
5,5,0.4610469031166156
5,5,0.04962746469130988
5,5,1.1776155583343668
5,5,0.049767500569882925
5,5,1.2156184172928712
5,5,0.3011262355819811
5,2,1.3176308111932027
5,5,0.7583671320252203
5,5,0.41972057134192703
5,5,0.6051595373027426
5,5,0.2887335376793817
5,5,0.4735502240768398
5,5,0.12121903036259915
5,5,0.26828306528603796
5,5,0.04985779729510575
5,5,0.15145667149277792
5,5,5.098569169181124
5,5,0.34961209863616766
5,5,0.40980231760491265
5,5,0.6853758040924461
5,2,108.19532117978088
5,5,0.04995890339396033
5,5,0.04993794970400013
5,5,0.2882232049018082
5,5,1.3428273325757205
5,5,0.9452616621759586
5,5,1.5567825251182552
5,5,0.05055397083113578
5,5,2.1165998514941933
5,5,34.16932144498919
5,5,0.049903210923786676
5,5,0.8795146677905414
5,5,1.0402455673575104
5,5,0.43137563711732835
5,5,0.04941036453369853
5,5,0.05036106740906243
5,2,2.1769921083625365
5,5,0.6852955690732258
5,5,0.05435684715398801
5,5,0.049933974407219556
5,5,0.7025691315740907
5,5,0.04991939548683563
5,5,0.8801557659706009
5,5,0.6539936534249402
5,5,0.35526045161804953
5,5,0.52201954386616
5,5,1.090859753401402
5,5,0.35185724069920243
5,5,0.049929998007394505
5,5,0.06629737503504592
5,5,0.9817080157747732
5,5,0.049475775505991436
5,5,3.1730730283214057
5,5,0.33510150496840074
5,5,0.46560314456140234
5,2,2.732495761881597
5,5,1.1582471425473029
5,5,0.771446281897154
5,5,0.22695076806713718
5,5,0.0496052389481765
5,2,0.5328443094432881
5,5,0.7664739936485532
5,5,0.304909360154601
5,5,1.393529262437905
5,5,0.7672969345635133
5,5,0.10778834003030371
5,5,1.0679239951956723
5,5,1.0905913992525826
5,5,0.04973105722656345
5,5,0.6264143663350855
5,5,5.1976522878806195
5,5,0.41689400471128735
5,5,0.049260942557458706
5,5,0.36790218603023533
5,5,0.20047458247633854
5,5,0.05006711357662826
5,5,0.16633123257469515
5,5,1.328272844913901
5,5,1.3245414691104749
5,5,0.04905524481694325
5,5,0.38186520234817134
5,5,0.9007758595643344
